349398761;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Marion;Robinienstr.;23;;57555;Mudersbach;DEU;02.07.1990;128758;test@test-mexxon.com
97553655;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Sandra;Gleißhammerstr.;53;;41236;Mönchengladbach;DEU;07.01.1988;128759;test@test-mexxon.com
1084564749;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Elija;Zum Wiegele;20;;47608;Geldern;DEU;04.04.1984;128760;test@test-mexxon.com
1610468056;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Nicole;Haberswöhr;3;;32756;Detmold;DEU;30.06.1962;128761;test@test-mexxon.com
203275192;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Jonathan;Kornblumenweg;24;;10777;Berlin;DEU;16.01.1981;128762;test@test-mexxon.com
1753434179;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Necla;Lerchenstr.;22;;18528;Bergen Auf Rügen;DEU;26.06.1992;128763;test@test-mexxon.com
345730602;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Denis;Kaarster Str.;232A;;53937;Schleiden;DEU;07.01.1995;128764;test@test-mexxon.com
1712845116;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Nicole;Sonnenwiechser Str.;15;;14532;Kleinmachnow;DEU;03.11.1965;128765;test@test-mexxon.com
718078502;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Fabian;Rheinauer Str.;26;;73730;Esslingen am Neckar;DEU;19.01.1976;128766;test@test-mexxon.com
718403693;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Nadine;Feuerwehrstr.;26;;21107;Hamburg;DEU;;128767;test@test-mexxon.com
1024448235;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Oskar;Karl-Barth-Str.;43;;99099;Erfurt;DEU;20.12.1975;128768;test@test-mexxon.com
1170165239;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Sonja;Am Körgraben;2C;;33154;Salzkotten;DEU;24.09.1993;128769;test@test-mexxon.com
753260465;ABI;201601;81501;815;FEMALE;XXXXXXXX;mm,üpklhömh;Thorsten;Haßlocher Str.;24;;44534;Lünen;DEU;17.09.1979;128770;test@test-mexxon.com
1058258580;ABI;201601;81501;815;MALE;XXXXXXXX;mm,üpklhömh;Steven;Landskronastr.;33;;52391;Köln;DEU;22.04.1983;128771;test@test-mexxon.com
